"func","desc"
"baryToCart","(Not recommended) Convert point coordinates from barycentricto Cartesian"
"base2dec","Convert base N number string to decimal number"
"beep","Produce operating system beep sound"
"BeginInvoke","Initiate asynchronous .NET delegate call"
"bench","MATLAB benchmark"
"besselh","Bessel function of third kind (Hankel function)"
"besseli","Modified Bessel function of first kind"
"besselj","Bessel function of first kind"
"besselk","Modified Bessel function of second kind"
"bessely","Bessel function of second kind"
"beta","Beta function"
"betainc","Incomplete beta function"
"betaincinv","Beta inverse cumulative distribution function"
"betaln","Logarithm of beta function"
"between","Calendar math differences"
"bfsearch","Breadth-first graph search"
"bicg","Biconjugate gradients method"
"bicgstab","Biconjugate gradients stabilized method"
"bicgstabl","Biconjugate gradients stabilized (l) method"
"bin2dec","Convert binary number string to decimal number"
"bitand","Bit-wise AND"
"bitcmp","Bit-wise complement"
"bitget","Get bit at specified position"
"bitmax","Maximum double-precision floating-point integer"
"bitnot",".NET enumeration object bit-wise NOT instance method"
"bitor","Bit-wise OR"
"bitset","Set bit at specific location"
"bitshift","Shift bits specified number of places"
"bitxor","Bit-wise XOR"
"blanks","Create character array of blanks"
"blkdiag","Construct block diagonal matrix from input arguments"
"boundary","Boundary of a set of points in 2-D or 3-D"
"boundaryFacets","Boundary facets of alpha shape"
"box","Display axes outline"
"break","Terminate execution of for or while loop"
"brighten","Brighten or darken colormap"
"brush","Interactively mark, delete, modify, and save observationsin graphs"
"bsxfun","Apply element-by-element binary operation to two arrayswith singleton expansion enabled"
"builddocsearchdb","Build searchable documentation database"
"builtin","Execute built-in function from overloaded method"
"bvp4c","Solve boundary value problems for ordinary differentialequations"
"bvp5c","Solve boundary value problems for ordinary differentialequations"
"bvpget","Extract properties from options structure created withbvpset"
"bvpinit","Form initial guess for BVP solvers"
"bvpset","Create or alter options structure of boundary value problem"
"bvpxtend","Form guess structure for extending boundary value solutions"
"caldays","Calendar duration in days"
"caldiff","Calendar math successive differences"
"calendar","Calendar for specified month"
"calendarDuration","Create calendar duration array from numeric values"
"calllib","Call function in shared library"
"callSoapService","Send SOAP (Simple Object Access Protocol) message to endpoint"
"calmonths","Calendar duration in months"
"calquarters","Calendar duration in quarters"
"calweeks","Calendar duration in weeks"
"calyears","Calendar duration in years"
"camdolly","Move camera position and target"
"cameratoolbar","Control camera toolbar programmatically"
"camlight","Create or move light object in camera coordinates"
"camlookat","Position camera to view object or group of objects"
"camorbit","Rotate camera position around camera target"
"campan","Rotate camera target around camera position"
"campos","Set or query camera position"
"camproj","Set or query projection type"
"camroll","Rotate camera about view axis"
"camtarget","Set or query location of camera target"
"camup","Set or query camera up vector"
"camva","Set or query camera view angle"
"camzoom","Zoom in and out on scene"
"cart2pol","Transform Cartesian coordinates to polar or cylindrical"
"cart2sph","Transform Cartesian coordinates to spherical"
"cartesianToBarycentric","Converts point coordinates from Cartesian to barycentric"
"cartToBary","(Not recommended) Convert point coordinates from cartesianto barycentric"
"cast","Cast variable to different data type"
"cat","Concatenate arrays along specified dimension"
"categorical","Create categorical array"
"categories","Categories of categorical array"
"caxis","Color axis scaling"
"cd","Change current folder"
"cdf2rdf","Convert complex diagonal form to real block diagonal form"
"cdfepoch","Convert date string or serial date number to CDF formatteddates"
"cdfinfo","Information about Common Data Format (CDF) file"
"cdflib.close","Close Common Data Format (CDF) file"
"cdflib.closeVar","Close specified variable from multifile format CommonData Format (CDF) file"
"cdflib.computeEpoch","Convert time value to CDF_EPOCH value"
"cdflib.computeEpoch16","Convert time value to CDF_EPOCH16 value"
"cdflib.create","Create Common Data Format (CDF) file"
"cdflib.createAttr","Create attribute"
"cdflib.createVar","Create new variable"
"cdflib.delete","Delete existing Common Data Format (CDF) file"
"cdflib.deleteAttr","Delete attribute"
"cdflib.deleteAttrEntry","Delete attribute entry"
"cdflib.deleteAttrgEntry","Delete entry in global attribute"
"cdflib.deleteVar","Delete variable"
"cdflib.deleteVarRecords","Delete range of records from variable"
"cdflib.epoch16Breakdown","Convert CDF_EPOCH16 value to time value"
"cdflib.epochBreakdown","Convert CDF_EPOCH value into time value"
"cdflib.getAttrEntry","Value of entry in attribute with variable scope"
"cdflib.getAttrgEntry","Value of entry in global attribute"
"cdflib.getAttrMaxEntry","Number of last entry for variable attribute"
"cdflib.getAttrMaxgEntry","Number of last entry for global attribute"
"cdflib.getAttrName","Name of attribute, given attribute number"
"cdflib.getAttrNum","Attribute number, given attribute name"
"cdflib.getAttrScope","Scope of attribute"
"cdflib.getCacheSize","Number of cache buffers used"
"cdflib.getChecksum","Checksum mode"
"cdflib.getCompression","Compression settings"
"cdflib.getCompressionCacheSize","Number of compression cache buffers"
"cdflib.getConstantNames","Names of Common Data Format (CDF) library constants"
"cdflib.getConstantValue","Numeric value corresponding to Common Data Format (CDF)library constant"
"cdflib.getCopyright","Copyright notice in Common Data Format (CDF) file"
"cdflib.getFileBackward","Return current backward compatibility mode setting"
"cdflib.getFormat","Format of Common Data Format (CDF) file"
"cdflib.getLibraryCopyright","Copyright notice of Common Data Format (CDF) library"
"cdflib.getLibraryVersion","Library version and release information"
"cdflib.getMajority","Majority of variables"
"cdflib.getName","Name of Common Data Format (CDF) file"
"cdflib.getNumAttrEntries","Number of entries for attribute with variable scope"
"cdflib.getNumAttrgEntries","Number of entries for attribute with global scope"
"cdflib.getNumAttributes","Number of attributes with variable scope"
"cdflib.getNumgAttributes","Number of attributes with global scope"
"cdflib.getReadOnlyMode","Read-only mode"
"cdflib.getStageCacheSize","Number of cache buffers for staging"
"cdflib.getValidate","Library validation mode"
"cdflib.getVarAllocRecords","Number of records allocated for variable"
"cdflib.getVarBlockingFactor","Blocking factor for variable"
"cdflib.getVarCacheSize","Number of multifile cache buffers"
"cdflib.getVarCompression","Information about compression used by variable"
"cdflib.getVarData","Single value from record in variable"
"cdflib.getVarMaxAllocRecNum","Maximum allocated record number for variable"
"cdflib.getVarMaxWrittenRecNum","Maximum written record number for variable"
"cdflib.getVarName","Variable name, given variable number"
"cdflib.getVarNum","Variable number, given variable name"
"cdflib.getVarNumRecsWritten","Number of records written to variable"
"cdflib.getVarPadValue","Pad value for variable"
"cdflib.getVarRecordData","Entire record for variable"
"cdflib.getVarReservePercent","Compression reserve percentage for variable"
"cdflib.getVarsMaxWrittenRecNum","Maximum written record number for CDF file"
"cdflib.getVarSparseRecords","Information about how variable handles sparse records"
"cdflib.getVersion","Common Data Format (CDF) library version and release information"
"cdflib.hyperGetVarData","Read hyperslab of data from variable"
"cdflib.hyperPutVarData","Write hyperslab of data to variable"
"cdflib.inquire","Basic characteristics of Common Data Format (CDF) file"
"cdflib.inquireAttr","Information about attribute"
"cdflib.inquireAttrEntry","Information about entry in attribute with variable scope"
"cdflib.inquireAttrgEntry","Information about entry in attribute with global scope"
"cdflib.inquireVar","Information about variable"
"cdflib.open","Open existing Common Data Format (CDF) file"
"cdflib.putAttrEntry","Write value to entry in attribute with variable scope"
"cdflib.putAttrgEntry","Write value to entry in attribute with global scope"
"cdflib.putVarData","Write single value to variable"
"cdflib.putVarRecordData","Write entire record to variable"
"cdflib.renameAttr","Rename existing attribute"
"cdflib.renameVar","Rename existing variable"
"cdflib.setCacheSize","Specify number of dotCDF cache buffers"
"cdflib.setChecksum","Specify checksum mode"
"cdflib.setCompression","Specify compression settings"
"cdflib.setCompressionCacheSize","Specify number of compression cache buffers"
"cdflib.setFileBackward","Set backward compatibility mode"
"cdflib.setFormat","Specify format of Common Data Format (CDF) file"
"cdflib.setMajority","Specify majority of variables"
"cdflib.setReadOnlyMode","Specify read-only mode"
"cdflib.setStageCacheSize","Specify number of staging cache buffers for Common DataFormat (CDF) file"
"cdflib.setValidate","Specify library validation mode"
"cdflib.setVarAllocBlockRecords","Specify range of records to be allocated for variable"
"cdflib.setVarBlockingFactor","Specify blocking factor for variable"
"cdflib.setVarCacheSize","Specify number of multi-file cache buffers for variable"
"cdflib.setVarCompression","Specify compression settings used with variable"
"cdflib.setVarInitialRecs","Specify initial number of records written to variable"
"cdflib.setVarPadValue","Specify pad value used with variable"
"cdflib.SetVarReservePercent","Specify reserve percentage for variable"
"cdflib.setVarsCacheSize","Specify number of cache buffers used for all variables"
"cdflib.setVarSparseRecords","Specify how variable handles sparse records"
"cdfread","Read data from Common Data Format (CDF) file"
"cdfwrite","Write data to Common Data Format (CDF) file"
"ceil","Round toward positive infinity"
"cell","Create cell array"
"cell2mat","Convert cell array to ordinary array of the underlyingdata type"
"cell2struct","Convert cell array to structure array"
"cell2table","Convert cell array to table"
"celldisp","Display cell array contents"
"cellfun","Apply function to each cell in cell array"
"cellplot","Graphically display structure of cell array"
"cellstr","Convert to cell array of strings"
"cgs","Conjugate gradients squared method"
"char","Convert to character array (string)"
"checkcode","Check MATLAB code files for possible problems"
"checkin","(To be removed) Check files into source control system(UNIX platforms)"
"checkout","(To be removed) Check files out of source control system(UNIX platforms)"
"chol","Cholesky factorization"
"cholupdate","Rank 1 update to Cholesky factorization"
"circshift","Shift array circularly"
"circumcenter","Circumcenter of triangle or tetrahedron"
"circumcenters","(Not recommended) Circumcenters of specified simplices"
"cla","Clear axes"
"clabel","Label contour plot elevation"
"class","Determine class of object"
"classdef","Class definition keywords"
"clc","Clear Command Window"
"clear (serial)","Remove serial port object from MATLAB workspace"
"clear","Remove items from workspace, freeing up system memory"
"clearpoints","Clear points from animated line"
"clearvars","Clear variables from memory"
"clf","Clear current figure window"
"clipboard","Copy and paste strings to and from system clipboard"
"clock","Current date and time as date vector"
"close","Remove specified figure"
"close","Close file after writing video data"
"closeFile","Close FITS file"
"closereq","Default figure close request function"
"cmopts","(To be removed) Name of source control system"
"cmpermute","Rearrange colors in colormap"
"cmunique","Eliminate duplicate colors in colormap; convert grayscaleor truecolor image to indexed image"
"colamd","Column approximate minimum degree permutation"
"colon","Create vectors, array subscripting, and for-loopiterators"
"colorbar","Colorbar showing color scale"
"colordef","Set default property values to display different colorschemes"
"colormap","View and set current colormap"
"colormapeditor","Open colormap editor"
"ColorSpec (Color Specification)","Color specification"
"colperm","Sparse column permutation based on nonzero count"
"Combine","Convenience function for static .NET System.Delegate Combinemethod"
"comet","2-D comet plot"
"comet3","3-D comet plot"
"commandhistory","Open Command History window, or select it if already open"
"commandwindow","Open Command Window, or select it if already open"
"compan","Companion matrix"
"compass","Plot arrows emanating from origin"
"complex","Create complex array"
"computer","Information about computer on which MATLAB softwareis running"
"cond","Condition number with respect to inversion"
"condeig","Condition number with respect to eigenvalues"
"condest","1-norm condition number estimate"
"coneplot","Plot velocity vectors as cones in 3-D vector field"
"conj","Complex conjugate"
"conncomp","Connected graph components"
"containers.Map","Map values to unique keys"
"continue","Pass control to next iteration of for or while loop"
"contour","Contour plot of matrix"
"contour3","3-D contour plot"
"contourc","Low-level contour plot computation"
"contourf","Filled 2-D contour plot"
"contourslice","Draw contours in volume slice planes"
"contrast","Grayscale colormap for contrast enhancement"
"conv","Convolution and polynomial multiplication"
"conv2","2-D convolution"
"convexHull","Convex hull"
"convexHull","(Not recommended) Convex hull"
"convhull","Convex hull"
"convhulln","N-D convex hull"
"convn","N-D convolution"
"copyfile","Copy file or folder"
"copyHDU","Copy current HDU from one file to another"
"copyobj","Copy graphics objects and their descendants"
"corrcoef","Correlation coefficients"
"cos","Cosine of argument in radians"
"cosd","Cosine of argument in degrees"
"cosh","Hyperbolic cosine"
"cot","Cotangent of angle in radians"
"cotd","Cotangent of argument in degrees"
"coth","Hyperbolic cotangent"
"countcats","Count occurrences of categorical array elements by category"
"cov","Covariance"
"cplxpair","Sort complex numbers into complex conjugate pairs"
"cputime","Elapsed CPU time"
"createClassFromWsdl","Create MATLAB class based on WSDL document"
"createFile","Create FITS file"
"createImg","Create FITS image"
"createSoapMessage","Create SOAP (Simple Object Access Protocol) message tosend to server"
"createTbl","Create new ASCII or binary table extension"
"criticalAlpha","Alpha radius defining a critical transition in the shape"
"cross","Cross product"
"csc","Cosecant of input angle in radians"
"cscd","Cosecant of argument in degrees"
"csch","Hyperbolic cosecant"
"csvread","Read comma-separated value (CSV) file"
"csvwrite","Write comma-separated value file"
"ctranspose","Complex conjugate transpose"
"cummax","Cumulative maximum"
"cummin","Cumulative minimum"
"cumprod","Cumulative product"
"cumsum","Cumulative sum"
"cumtrapz","Cumulative trapezoidal numerical integration"
"curl","Compute curl and angular velocity of vector field"
"customverctrl","(To be removed) Allow custom source control system (UNIX platforms)"
"cylinder","Generate cylinder"
"daqread","Read Data Acquisition Toolbox (.daq)file"
"daspect","Control data unit length along each axis"
"datacursormode","Enable, disable, and manage interactive data cursor mode"
"datastore","Create datastore to access collection of data"
"datatipinfo","Produce short description of input variable"
"date","Current date string"
"datenum","Convert date and time to serial date number"
"dateshift","Shift date or generate sequence of dates and time"
"datestr","Convert date and time to string format"
"datetick","Date formatted tick labels"
"datetime","Create array based on current date, or convert from datestrings or numbers"
"datevec","Convert date and time to vector of components"
"day","Day number or name"
"days","Duration in days"
"dbclear","Clear breakpoints"
"dbcont","Resume execution"
"dbdown","Reverse workspace shift performed by dbup,while in debug mode"
"dblquad","Numerically evaluate double integral over rectangle"
"dbmex","Enable MEX-file debugging (on UNIX platforms)"
"dbquit","Quit debug mode"
"dbstack","Function call stack"
"dbstatus","List all breakpoints"
"dbstep","Execute one or more lines from current breakpoint"
"dbstop","Set breakpoints for debugging"
"dbtype","List text file with line numbers"
"dbup","Shift current workspace to workspace of caller, whilein debug mode"
"dde23","Solve delay differential equations (DDEs) with constantdelays"
"ddeget","Extract properties from delay differential equations optionsstructure"
"ddensd","Solve delay differential equations (DDEs) of neutral type"
"ddesd","Solve delay differential equations (DDEs) with generaldelays"
"ddeset","Create or alter delay differential equations options structure"
"deal","Distribute inputs to outputs"
"deblank","Strip trailing blanks from end of string"
"dec2base","Convert decimal to base N number in string"
"dec2bin","Convert decimal to binary number in string"
"dec2hex","Convert decimal to hexadecimal number in string"
"decic","Compute consistent initial conditions for ode15i"
"deconv","Deconvolution and polynomial division"
"deg2rad","Convert angle from degrees to radians"
"degree","Degree of graph nodes"
"del2","Discrete Laplacian"
"delaunay","Delaunay triangulation"
"delaunayn","N-D Delaunay triangulation"
"DelaunayTri","(Not recommended) Delaunay triangulation in 2-D and 3-D"
"DelaunayTri","(Not recommended) Delaunay triangulation in 2-D and 3-D"
"delaunayTriangulation","Delaunay triangulation in 2-D and 3-D"
"delete (serial)","Remove serial port object from memory"
"delete","Delete files or objects"
"delete","Remove COM control or server"
"deleteCol","Delete column from table"
"deleteFile","Delete FITS file"
"deleteHDU","Delete current HDU in FITS file"
"deleteKey","Delete key by name"
"deleteproperty","Remove custom property from COM object"
"deleteRecord","Delete key by record number"
"deleteRows","Delete rows from table"
"delevent","Remove tsdata.event objects from timeseries object"
"delsample","Remove sample from timeseries object"
"delsamplefromcollection","Remove sample from tscollection object"
"demo","Access product examples in Help browser"
"depdir","List dependent folders for function or P-file"
"depfun","List dependencies of function or P-file"
"det","Matrix determinant"
"details","Display array details"
"detrend","Remove linear trends"
"detrend","Subtract mean or best-fit line and all NaNsfrom timeseries object"
"deval","Evaluate solution of differential equation problem"
"dfsearch","Depth-first graph search"
"diag","Create diagonal matrix or get diagonal elements of matrix"
"dialog","Create empty modal dialog box"
"diary","Save Command Window text to file"
"diff","Differences and Approximate Derivatives"
"diffuse","Calculate diffuse reflectance"
"digraph","Graph with directed edges"
"digraph","Create directed graph"
"dir","List folder contents"
"discretize","Group numeric data into bins or categories"
"disp (serial)","Serial port object summary information"
"disp","Display value of variable"
"display","Display text and numeric expressions"
"distances","Shortest path distances of all node pairs"
"dither","Convert image, increasing apparent color resolution bydithering"
"divergence","Compute divergence of vector field"
"dlmread","Read ASCII-delimited file of numeric data into matrix"
"dlmwrite","Write matrix to ASCII-delimited file"
"dmperm","Dulmage-Mendelsohn decomposition"
"doc","Reference page in Help browserSearch for term in documentation"
"docsearch","Help browser search"
"dos","Execute DOS command and return output"
"dot","Dot product"
"double","Convert to double precision"
"dragrect","Drag rectangles with mouse"
"drawnow","Update figures and process callbacks"
"dsearchn","N-D nearest point search"
"duration","Create duration array from numeric values"
"dynamicprops","Abstract class used to derive handle class with dynamicproperties"
"echo","Display statements during function execution"
"echodemo","Run example script step-by-step in Command Window"
"edgeAttachments","(Not recommended) Simplices attached to specified edges"
"edgeAttachments","Triangles or tetrahedra attached to specified edge"
"edges","(Not recommended) Triangulation edges"
"edges","Triangulation edges"
"edit","Edit or create file"
"eig","Eigenvalues and eigenvectors"
"eigs","Largest eigenvalues and eigenvectors of matrix"
"ellipj","Jacobi elliptic functions"
"ellipke","Complete elliptic integrals of first and second kind"
"ellipsoid","Generateellipsoid"
"empty","Create empty array"
"enableNETfromNetworkDrive","Enable access to .NET commands from network drive"
"enableservice","Enable, disable, or report status of MATLAB Automationserver"
"end","Terminate block of code, or indicate last array index"
"EndInvoke","Retrieve result of asynchronous call initiated by .NETSystem.Delegate BeginInvoke method"
"enumeration","Display class enumeration members and names"
"eomday","Last day of month"
"eps","Floating-point relative accuracy"
"eq","Determine equality"
"erf","Error function"
"erfc","Complementary error function"
"erfcinv","Inverse complementary error function"
"erfcx","Scaled complementary error function"
"erfinv","Inverse error function"
"error","Throw error and display message"
"errorbar","Plot error bars along curve"
"errordlg","Create error dialog box"
"etime","Time elapsed between date vectors"
"etree","Elimination tree"
"etreeplot","Plot elimination tree"
"eval","Execute MATLAB expression in text string"
"evalc","Evaluate MATLAB expression with capture"
"evalin","Execute MATLAB expression in specified workspace"
"event.EventData","Base class for all data objects passed to event listeners"
"event.listener","Class defining listener objects"
"event.PropertyEvent","Data for property events"
"event.proplistener","Define listener object for property events"
"eventlisteners","List event handler functions associated with COM objectevents"
"events","Event names"
"events","List of events COM object can trigger"
"exceltime","Convert MATLAB datetime to Excel date number"
"Execute","Execute MATLAB command in Automation server"
"exifread","Read EXIF information from JPEG and TIFF image files"
"exist","Check existence of variable, function, folder, or class"
"exit","Terminate MATLAB program (same as quit)"
"exp","Exponential"
"expint","Exponential integral"
"expm","Matrix exponential"
"expm1","Compute exp(x)-1 accurately for small values of x"
"export2wsdlg","Create dialog box for exporting variables to workspace"
"exportsetupdlg","Open figure Export Setup dialog box"
"eye","Identity matrix"
"ezcontour","Easy-to-use contour plotter"
"ezcontourf","Easy-to-use filled contour plotter"
"ezmesh","Easy-to-use 3-D mesh plotter"
"ezmeshc","Easy-to-use combination mesh/contour plotter"
"ezplot","Easy-to-use function plotter"
"ezplot3","Easy-to-use 3-D parametric curve plotter"
"ezpolar","Easy-to-use polar coordinate plotter"
"ezsurf","Easy-to-use 3-D colored surface plotter"
"ezsurfc","Easy-to-use combination surface/contour plotter"
"faceNormal","Triangulation face normal"
"faceNormals","(Not recommended) Unit normals to specified triangles"
"factor","Prime factors"
"factorial","Factorial of input"
"false","Logical 0 (false)"
"fclose (serial)","Disconnect serial port object from device"
"fclose","Close one or all open files"
"feather","Plot velocity vectors"
"featureEdges","(Not recommended) Sharp edges of surface triangulation"
"featureEdges","Triangulation sharp edges"
"feof","Test for end-of-file"
"ferror","Information about file I/O errors"
"Feval","Evaluate MATLAB function in Automation server"
"feval","Evaluate function"
"fewerbins","Decrease number of histogram bins"
"fft","Fast Fourier transform"
"fft2","2-D fast Fourier transform"
"fftn","N-D fast Fourier transform"
"fftshift","Shift zero-frequency component to center of spectrum"
"fftw","Interface to FFTW library run-time algorithm tuning control"
"fgetl (serial)","Read line of ASCII text from device and discard terminator"
"fgetl","Read line from file, removing newline characters"
"fgets (serial)","Read line of text from device and include terminator"
"fgets","Read line from file, keeping newline characters"
"fieldnames","Field names of structure, or public fields of object"
"figure","Create figure window"
"figurepalette","Show or hide Figure Palette"
"fileattrib","Set or get attributes of file or folder"
"filebrowser","Open Current Folder browser, or select it if already open"
"filemarker","Character to separate file name and internal functionname"
"fileMode","I/O mode of FITS file"
"fileName","Name of FITS file"
"fileparts","Parts of file name and path"
"fileread","Read contents of file into string"
"filesep","File separator for current platform"
"fill","Filled 2-D polygons"
"fill3","Filled 3-D polygons"
"filter","1-D digital filter"
"filter","Shape frequency content of time-series"
"filter2","2-D digital filter"
"find","Find indices and values of nonzero elements"
"findall","Find all graphics objects"
"findedge","Locate edge in graph"
"findfigs","Find visible offscreen figures"
"findgroups","Find groups and return group numbers"
"findnode","Locate node in graph"
"findobj","Locate graphics objects with specific properties"
"findstr","Find string within another, longer string"
"finish","Termination file for MATLAB program"
"fitsdisp","Display FITS metadata"
"fitsinfo","Information about FITS file"
"fitsread","Read data from FITS file"
"fitswrite","Write image to FITS file"
"fix","Round toward zero"
"flintmax","Largest consecutive integer in floating-point format"
"flip","Flip order of elements"
"flipdim","(Not recommended) Flip array along specified dimension"
"fliplr","Flip array left to right"
"flipud","Flip array up to down"
"floor","Round toward negative infinity"
"flow","Simple function of three variables"
"fminbnd","Find minimum of single-variable function on fixed interval"
"fminsearch","Find minimum of unconstrained multivariable function usingderivative-free method"
"fopen (serial)","Connect serial port object to device"
"fopen","Open file, or obtain information about open files"
"for","Execute statements specified number of times"
"format","Set Command Window output display format"
"fplot","Plot function between specified limits"
"fprintf (serial)","Write text to device"
"fprintf","Write data to text file"
"frame2im","Return image data associated with movie frame"
"fread (serial)","Read binary data from device"
"fread","Read data from binary file"
"freeBoundary","(Not recommended) Facets referenced by only one simplex"
"freeBoundary","Triangulation facets referenced by only one triangle ortetrahedron"
"freqspace","Frequency spacing for frequency response"
"frewind","Move file position indicator to beginning of open file"
"fscanf (serial)","Read ASCII data from device, and format as text"
"fscanf","Read data from text file"
"fseek","Move to specified position in file"
"ftell","Position in open file"
"ftp","Connect to FTP server"
"full","Convert sparse matrix to full matrix"
"fullfile","Build full file name from parts"
"func2str","Construct string from function handle"
"function","Declare function name, inputs, and outputs"
"functions","Information about function handle"
"FunctionTestCase","TestCase used for function-based tests"
"functiontests","Create array of tests from handles to local functions"
"funm","Evaluate general matrix function"
"fwrite (serial)","Write binary data to device"
"fwrite","Write data to binary file"
"fzero","Root of nonlinear function"
"gallery","Test matrices"
"gamma","Gamma function"
"gammainc","Incomplete gamma function"
"gammaincinv","Inverse incomplete gamma function"
"gammaln","Logarithm of gamma function"
"gca","Current axes handle"
"gcbf","Handle of figure containing object whose callback is executing"
"gcbo","Handle of object whose callback is executing"
"gcd","Greatest common divisor"
"gcf","Current figure handle"
"gcmr","Get current mapreducer configuration"
"gco","Handle of current object"
"ge","Determine greater than or equal to"
"genpath","Generate path string"
"genvarname","Construct valid variable name from string"
"get (RandStream)","Random stream properties"
"get (serial)","Serial port object properties"
"get (tscollection)","Query tscollection object propertyvalues"
"get","Query graphics object properties"
"get","Query property values for audioplayer object"
"get","Query property values for audiorecorder object"
"get","Get propertyvalue from interface, or display properties"
"get","Query timeseries object property values"
"getabstime (tscollection)","Extract date-string time vector into cell array"
"getabstime","Extract date-string time vector into cell array"
"getAColParms","ASCII table information"
"getappdata","Retrieve application-defined data"
"getaudiodata","Store recorded audio signal in numeric array"
"getBColParms","Binary table information"
"GetCharArray","Character array from Automation server"
"getColName","Table column name"
"getColType","Scaled column data type, repeat value, width"
"getConstantValue","Numeric value of named constant"
"getdatasamplesize","Size of data sample in timeseries object"
"getenv","Environment variable"
"getEqColType","Column data type, repeat value, width"
"getfield","Field of structure array"
"getFileFormats","File formats that VideoReader supports"
"getframe","Capture axes or figure as movie frame"
"GetFullMatrix","Matrix from Automation server workspace"
"getHdrSpace","Number of keywords in header"
"getHDUnum","Number of current HDU in FITS file"
"getHDUtype","Type of current HDU"
"getImgSize","Size of image"
"getImgType","Data type of image"
"getinterpmethod","Interpolation method for timeseries object"
"getnext","Get next value from ValueIterator"
"getNumCols","Number of columns in table"
"getNumHDUs","Total number of HDUs in FITS file"
"getNumRows","Number of rows in table"
"getOpenFiles","List of open FITS files"
"getpixelposition","Get component position in pixels"
"getpoints","Return points that define animated line"
"getpref","Preference"
"getProfiles","Profiles and file formats that VideoWriter supports"
"getqualitydesc","Data quality descriptions"
"getReport","Get error message for exception"
"getsamples","Subset of time series samples using subscripted indexarray"
"getsampleusingtime (tscollection)","Extract data samples into new tscollection object"
"getsampleusingtime","Extract data samples into new timeseries object"
"gettimeseriesnames","Cell array of names of timeseries objectsin tscollection object"
"gettsafteratevent","New timeseries object with samplesoccurring at or after event"
