"func","desc"
"betaincinv","Beta inverse cumulative distribution function"
"betaln","Logarithm of beta function"
"bicg","Biconjugate gradients method"
"bicgstab","Biconjugate gradients stabilized method"
"bicgstabl","Biconjugate gradients stabilized (l) method"
"bin2dec","Convert binary number string to decimal number"
"bitand","Bit-wise AND"
"bitcmp","Bit-wise complement"
"bitget","Get bit at specified position"
"bitmax","Maximum double-precision floating-point integer"
"bitnot","Bit-wise NOT"
"bitor","Bit-wise OR"
"bitset","Set bit at specific location"
"bitshift","Shift bits specified number of places"
"bitxor","Bit-wise XOR"
"blanks","Create string of blank characters"
"blkdiag","Construct block diagonal matrix from input arguments"
"box","Axes border"
"break","Terminate execution of for or while loop"
"brighten","Brighten or darken colormap"
"brush","Interactively mark, delete, modify, and save observationsin graphs"
"bsxfun","Apply element-by-element binary operation to two arrayswith singleton expansion enabled"
"builddocsearchdb","Build searchable documentation database"
"builtin","Execute built-in function from overloaded method"
"bvp4c","Solve boundary value problems for ordinary differentialequations"
"bvp5c","Solve boundary value problems for ordinary differentialequations"
"bvpget","Extract properties from options structure created withbvpset"
"bvpinit","Form initial guess for BVP solvers"
"bvpset","Create or alter options structure of boundary value problem"
"bvpxtend","Form guess structure for extending boundary value solutions"
"calendar","Calendar for specified month"
"calllib","Call function in shared library"
"callSoapService","Send SOAP message to endpoint"
"camdolly","Move camera position and target"
"cameratoolbar","Control camera toolbar programmatically"
"camlight","Create or move light object in camera coordinates"
"camlookat","Position camera to view object or group of objects"
"camorbit","Rotate camera position around camera target"
"campan","Rotate camera target around camera position"
"campos","Set or query camera position"
"camproj","Set or query projection type"
"camroll","Rotate camera about view axis"
"camtarget","Set or query location of camera target"
"camup","Set or query camera up vector"
"camva","Set or query camera view angle"
"camzoom","Zoom in and out on scene"
"cart2pol","Transform Cartesian coordinates to polar or cylindrical"
"cart2sph","Transform Cartesian coordinates to spherical"
"cartesianToBarycentric","Converts point coordinates from Cartesian to barycentric"
"cartToBary","(Will be removed) Convert point coordinates from cartesianto barycentric"
"case","Optional keyword in switchstatement"
"cast","Cast variable to different data type"
"cat","Concatenate arrays along specified dimension"
"catch","Handle error detected in try statement"
"caxis","Color axis scaling"
"cd","Change current folder"
"cdf2rdf","Convert complex diagonal form to real block diagonal form"
"cdfepoch","Convert MATLAB formatted dates to CDF formatted dates"
"cdfinfo","Information about Common Data Format (CDF) file"
"cdflib","Summary of Common Data Format (CDF) capabilities"
"cdflib.close","Close Common Data Format (CDF) file"
"cdflib.closeVar","Close specified variable from multifile format CommonData Format (CDF) file"
"cdflib.computeEpoch","Convert time value to CDF_EPOCH value"
"cdflib.computeEpoch16","Convert time value to CDF_EPOCH16 value"
"cdflib.create","Create Common Data Format (CDF) file"
"cdflib.createAttr","Create attribute"
"cdflib.createVar","Create new variable"
"cdflib.delete","Delete existing Common Data Format (CDF) file"
"cdflib.deleteAttr","Delete attribute"
"cdflib.deleteAttrEntry","Delete attribute entry"
"cdflib.deleteAttrgEntry","Delete entry in global attribute"
"cdflib.deleteVar","Delete variable"
"cdflib.deleteVarRecords","Delete range of records from variable"
"cdflib.epoch16Breakdown","Convert CDF_EPOCH16 value to time value"
"cdflib.epochBreakdown","Convert CDF_EPOCH value into time value"
"cdflib.getAttrEntry","Value of entry in attribute with variable scope"
"cdflib.getAttrgEntry","Value of entry in global attribute"
"cdflib.getAttrMaxEntry","Number of last entry for variable attribute"
"cdflib.getAttrMaxgEntry","Number of last entry for global attribute"
"cdflib.getAttrName","Name of attribute, given attribute number"
"cdflib.getAttrNum","Attribute number, given attribute name"
"cdflib.getAttrScope","Scope of attribute"
"cdflib.getCacheSize","Number of cache buffers used"
"cdflib.getChecksum","Checksum mode"
"cdflib.getCompression","Compression settings"
"cdflib.getCompressionCacheSize","Number of compression cache buffers"
"cdflib.getConstantNames","Names of Common Data Format (CDF) library constants"
"cdflib.getConstantValue","Numeric value corresponding to Common Data Format (CDF)library constant"
"cdflib.getCopyright","Copyright notice in Common Data Format (CDF) file"
"cdflib.getFileBackward","Return current backward compatibility mode setting"
"cdflib.getFormat","Format of Common Data Format (CDF) file"
"cdflib.getLibraryCopyright","Copyright notice of Common Data Format (CDF) library"
"cdflib.getLibraryVersion","Library version and release information"
"cdflib.getMajority","Majority of variables"
"cdflib.getName","Name of Common Data Format (CDF) file"
"cdflib.getNumAttrEntries","Number of entries for attribute with variable scope"
"cdflib.getNumAttrgEntries","Number of entries for attribute with global scope"
"cdflib.getNumAttributes","Number of attributes with variable scope"
"cdflib.getNumgAttributes","Number of attributes with global scope"
"cdflib.getReadOnlyMode","Read-only mode"
"cdflib.getStageCacheSize","Number of cache buffers for staging"
"cdflib.getValidate","Library validation mode"
"cdflib.getVarAllocRecords","Number of records allocated for variable"
"cdflib.getVarBlockingFactor","Blocking factor for variable"
"cdflib.getVarCacheSize","Number of multifile cache buffers"
"cdflib.getVarCompression","Information about compression used by variable"
"cdflib.getVarData","Single value from record in variable"
"cdflib.getVarMaxAllocRecNum","Maximum allocated record number for variable"
"cdflib.getVarMaxWrittenRecNum","Maximum written record number for variable"
"cdflib.getVarName","Variable name, given variable number"
"cdflib.getVarNum","Variable number, given variable name"
"cdflib.getVarNumRecsWritten","Number of records written to variable"
"cdflib.getVarPadValue","Pad value for variable"
"cdflib.getVarRecordData","Entire record for variable"
"cdflib.getVarReservePercent","Compression reserve percentage for variable"
"cdflib.getVarsMaxWrittenRecNum","Maximum written record number for CDF file"
"cdflib.getVarSparseRecords","Information about how variable handles sparse records"
"cdflib.getVersion","Common Data Format (CDF) library version and release information"
"cdflib.hyperGetVarData","Read hyperslab of data from variable"
"cdflib.hyperPutVarData","Write hyperslab of data to variable"
"cdflib.inquire","Basic characteristics of Common Data Format (CDF) file"
"cdflib.inquireAttr","Information about attribute"
"cdflib.inquireAttrEntry","Information about entry in attribute with variable scope"
"cdflib.inquireAttrgEntry","Information about entry in attribute with global scope"
"cdflib.inquireVar","Information about variable"
"cdflib.open","Open existing Common Data Format (CDF) file"
"cdflib.putAttrEntry","Write value to entry in attribute with variable scope"
"cdflib.putAttrgEntry","Write value to entry in attribute with global scope"
"cdflib.putVarData","Write single value to variable"
"cdflib.putVarRecordData","Write entire record to variable"
"cdflib.renameAttr","Rename existing attribute"
"cdflib.renameVar","Rename existing variable"
"cdflib.setCacheSize","Specify number of dotCDF cache buffers"
"cdflib.setChecksum","Specify checksum mode"
"cdflib.setCompression","Specify compression settings"
"cdflib.setCompressionCacheSize","Specify number of compression cache buffers"
"cdflib.setFileBackward","Set backward compatibility mode"
"cdflib.setFormat","Specify format of Common Data Format (CDF) file"
"cdflib.setMajority","Specify majority of variables"
"cdflib.setReadOnlyMode","Specify read-only mode"
"cdflib.setStageCacheSize","Specify number of staging cache buffers for Common DataFormat (CDF) file"
"cdflib.setValidate","Specify library validation mode"
"cdflib.setVarAllocBlockRecords","Specify range of records to be allocated for variable"
"cdflib.setVarBlockingFactor","Specify blocking factor for variable"
"cdflib.setVarCacheSize","Specify number of multi-file cache buffers for variable"
"cdflib.setVarCompression","Specify compression settings used with variable"
"cdflib.setVarInitialRecs","Specify initial number of records written to variable"
"cdflib.setVarPadValue","Specify pad value used with variable"
"cdflib.SetVarReservePercent","Specify reserve percentage for variable"
"cdflib.setVarsCacheSize","Specify number of cache buffers used for all variables"
"cdflib.setVarSparseRecords","Specify how variable handles sparse records"
"cdfread","Read data from Common Data Format (CDF) file"
"cdfwrite","Write data to Common Data Format (CDF) file"
"ceil","Round toward positive infinity"
"cell","Create cell array"
"cell2mat","Convert cell array to numeric array"
"cell2struct","Convert cell array to structure array"
"celldisp","Cell array contents"
"cellfun","Apply function to each cell in cell array"
"cellplot","Graphically display structure of cell array"
"cellstr","Create cell array of strings from character array"
"cgs","Conjugate gradients squared method"
"char","Convert to character array (string)"
"checkcode","Check MATLAB code files for possible problems"
"checkin","Check files into source control system (UNIX platforms)"
"checkout","Check files out of source control system (UNIX platforms)"
"chol","Cholesky factorization"
"cholinc","Sparse incomplete Cholesky and Cholesky-Infinity factorizations"
"cholupdate","Rank 1 update to Cholesky factorization"
"circshift","Shift array circularly"
"circumcenter","Circumcenter of triangle or tetrahedron"
"circumcenters","(Will be removed) Circumcenters of specified simplices"
"cla","Clear current axes"
"clabel","Contour plot elevation labels"
"class","Determine class of object"
"classdef","Class definition keywords"
"clc","Clear Command Window"
"clear (serial)","Remove serial port object from MATLAB workspace"
"clear","Remove items from workspace, freeing up system memory"
"clearvars","Clear variables from memory"
"clf","Clear current figure window"
"clipboard","Copy and paste strings to and from system clipboard"
"clock","Current date and time as date vector"
"close","Remove specified figure"
"close","Close Audio/Video Interleaved (AVI) file"
"closereq","Default figure close request function"
"cmopts","Name of source control system"
"cmpermute","Rearrange colors in colormap"
"cmunique","Eliminate duplicate colors in colormap; convert grayscaleor truecolor image to indexed image"
"colamd","Column approximate minimum degree permutation"
"colon","Create vectors, array subscripting, and for-loopiterators"
"colorbar","Colorbar showing color scale"
"colordef","Set default property values to display different colorschemes"
"colormap","Set and get current colormap"
"colormapeditor","Open colormap editor"
"ColorSpec (Color Specification)","Color specification"
"colperm","Sparse column permutation based on nonzero count"
"Combine","Convenience function for static .NET System.Delegate Combinemethod"
"comet","2-D comet plot"
"comet3","3-D comet plot"
"commandhistory","Open Command History window, or select it if already open"
"commandwindow","Open Command Window, or select it if already open"
"compan","Companion matrix"
"compass","Plot arrows emanating from origin"
"complex","Construct complex data from real and imaginary components"
"computer","Information about computer on which MATLAB softwareis running"
"cond","Condition number with respect to inversion"
"condeig","Condition number with respect to eigenvalues"
"condest","1-norm condition number estimate"
"coneplot","Plot velocity vectors as cones in 3-D vector field"
"conj","Complex conjugate"
"containers.Map","Map values to unique keys"
"continue","Pass control to next iteration of for or while loop"
"contour","Contour plot of matrix"
"contour3","3-D contour plot"
"contourc","Low-level contour plot computation"
"contourf","Filled 2-D contour plot"
"contourslice","Draw contours in volume slice planes"
"contrast","Grayscale colormap for contrast enhancement"
"conv","Convolution and polynomial multiplication"
"conv2","2-D convolution"
"convexHull","Convex hull"
"convexHull","(Will be removed) Convex hull"
"convhull","Convex hull"
"convhulln","N-D convex hull"
"convn","N-D convolution"
"copyfile","Copy file or folder"
"copyobj","Copy graphics objects and their descendants"
"corrcoef","Correlation coefficients"
"cos","Cosine of argument in radians"
"cosd","Cosine of argument in degrees"
"cosh","Hyperbolic cosine"
"cot","Cotangent of argument in radians"
"cotd","Cotangent of argument in degrees"
"coth","Hyperbolic cotangent"
"cov","Covariance matrix"
"cplxpair","Sort complex numbers into complex conjugate pairs"
"cputime","Elapsed CPU time"
"createClassFromWsdl","Create MATLAB class based on WSDL document"
"createCopy","Create copy of inputParser object (tobe removed)"
"createSoapMessage","Create SOAP message to send to server"
"cross","Vector cross product"
"csc","Cosecant of argument in radians"
"cscd","Cosecant of argument in degrees"
"csch","Hyperbolic cosecant"
"csvread","Read comma-separated value file"
"csvwrite","Write comma-separated value file"
"ctranspose","Complex conjugate transpose"
"ctranspose","Transpose timeseries object"
"cumprod","Cumulative product"
"cumsum","Cumulative sum"
"cumtrapz","Cumulative trapezoidal numerical integration"
"curl","Compute curl and angular velocity of vector field"
"customverctrl","Allow custom source control system (UNIX platforms)"
"cylinder","Generate cylinder"
"daqread","Read Data Acquisition Toolbox (.daq)file"
"daspect","Set or query axes data aspect ratio"
"datacursormode","Enable, disable, and manage interactive data cursor mode"
"datatipinfo","Produce short description of input variable"
"date","Current date string"
"datenum","Convert date and time to serial date number"
"datestr","Convert date and time to string format"
"datetick","Date formatted tick labels"
"datevec","Convert date and time to vector of components"
"dbclear","Clear breakpoints"
"dbcont","Resume execution"
"dbdown","Reverse workspace shift performed by dbup,while in debug mode"
"dblquad","Numerically evaluate double integral over rectangle"
"dbmex","Enable MEX-file debugging (on UNIX platforms)"
"dbquit","Quit debug mode"
"dbstack","Function call stack"
"dbstatus","List all breakpoints"
"dbstep","Execute one or more lines from current breakpoint"
"dbstop","Set breakpoints for debugging"
"dbtype","List text file with line numbers"
"dbup","Shift current workspace to workspace of caller, whilein debug mode"
"dde23","Solve delay differential equations (DDEs) with constantdelays"
"ddeget","Extract properties from delay differential equations optionsstructure"
"ddensd","Solve delay differential equations (DDEs) of neutral type"
"ddesd","Solve delay differential equations (DDEs) with generaldelays"
"ddeset","Create or alter delay differential equations options structure"
"deal","Distribute inputs to outputs"
"deblank","Strip trailing blanks from end of string"
"dec2base","Convert decimal to base N number in string"
"dec2bin","Convert decimal to binary number in string"
"dec2hex","Convert decimal to hexadecimal number in string"
"decic","Compute consistent initial conditions for ode15i"
"deconv","Deconvolution and polynomial division"
"del2","Discrete Laplacian"
"delaunay","Delaunay triangulation"
"delaunayn","N-D Delaunay triangulation"
"DelaunayTri","(Will be removed) Delaunay triangulation in 2-D and 3-D"
"DelaunayTri",""
"delaunayTriangulation","Delaunay triangulation in 2-D and 3-D"
"delete (serial)","Remove serial port object from memory"
"delete (timer)","Remove timer object from memory"
"delete","Remove files or graphics objects"
"delete","Handle object destructor"
"delete","Remove COM control or server"
"deleteproperty","Remove custom property from COM object"
"delevent","Remove tsdata.event objects from timeseries object"
"delsample","Remove sample from timeseries object"
"delsamplefromcollection","Remove sample from tscollection object"
"demo","Access product examples in Help browser"
"depdir","List dependent folders for function or P-file"
"depfun","List dependencies of function or P-file"
"det","Matrix determinant"
"detrend","Remove linear trends"
"detrend","Subtract mean or best-fit line and all NaNsfrom timeseries object"
"deval","Evaluate solution of differential equation problem"
"diag","Diagonal matrices and diagonals of matrix"
"dialog","Create and display empty dialog box"
"diary","Save Command Window text to file"
"diff","Differences and approximate derivatives"
"diffuse","Calculate diffuse reflectance"
"dir","List folder contents"
"disp (memmapfile)","Information about memmapfile object"
"disp (MException)","Display MException object"
"disp (serial)","Serial port object summary information"
"disp (timer)","Information about timer object"
"disp","Display text or array"
"display","Display text and numeric expressions"
"dither","Convert image, increasing apparent color resolution bydithering"
"divergence","Compute divergence of vector field"
"dlmread","Read ASCII-delimited file of numeric data into matrix"
"dlmwrite","Write matrix to ASCII-delimited file"
"dmperm","Dulmage-Mendelsohn decomposition"
"doc","Reference page in Help browser"
"docsearch","Help browser search"
"dos","Execute DOS command and return output"
"dot","Vector dot product"
"double","Convert to double precision"
"dragrect","Drag rectangles with mouse"
"drawnow","Flush event queue and update figure window"
"dsearchn","N-D nearest point search"
"dynamicprops","Abstract class used to derive handle class with dynamicproperties"
"echo","Display statements during function execution"
"echodemo","Run example script step-by-step in Command Window"
"edgeAttachments","(Will be removed) Simplices attached to specified edges"
"edgeAttachments","Triangles or tetrahedra attached to specified edge"
"edges","(Will be removed) Triangulation edges"
"edges","Triangulation edges"
"edit","Edit or create file"
"eig","Eigenvalues and eigenvectors"
"eigs","Largest eigenvalues and eigenvectors of matrix"
"ellipj","Jacobi elliptic functions"
"ellipke","Complete elliptic integrals of first and second kind"
"ellipsoid","Generateellipsoid"
"else","Optional keyword within an if statement"
"elseif","Optional keyword within an if statement"
"empty","Create empty array"
"enableNETfromNetworkDrive","Enable access to .NET commands from network drive"
"enableservice","Enable, disable, or report status of MATLAB Automationserver"
"end","Terminate block of code, or indicate last array index"
"EndInvoke","Retrieve result of asynchronous call initiated by .NETSystem.Delegate BeginInvoke method"
"enumeration","Display class enumeration members and names"
"eomday","Last day of month"
"eps","Floating-point relative accuracy"
"eq (MException)","Compare scalar MException objects forequality"
"eq","Test for equality"
"erf","Error function"
"erfc","Complementary error function"
"erfcinv","Inverse complementary error function"
"erfcx","Scaled complementary error function"
"erfinv","Inverse error function"
"error","Display message and abort function"
"errorbar","Plot error bars along curve"
"errordlg","Create and open error dialog box"
"etime","Time elapsed between date vectors"
"etree","Elimination tree"
"etreeplot","Plot elimination tree"
"eval","Execute MATLAB expression in text string"
"evalc","Evaluate MATLAB expression with capture"
"evalin","Execute MATLAB expression in specified workspace"
"event.EventData","Base class for all data objects passed to event listeners"
"event.listener","Class defining listener objects"
"event.PropertyEvent","Data for property events"
"event.proplistener","Define listener object for property events"
"eventlisteners","List event handler functions associated with COM objectevents"
"events","Event names"
"events","List of events COM object can trigger"
"Execute","Execute MATLAB command in Automation server"
"exifread","Read EXIF information from JPEG and TIFF image files"
"exist","Check existence of variable, function, folder, or class"
"exit","Terminate MATLAB program (same as quit)"
"exp","Exponential"
"expint","Exponential integral"
"expm","Matrix exponential"
"expm1","Compute exp(x)-1 accurately for small values of x"
"export2wsdlg","Export variables to workspace"
"eye","Identity matrix"
"ezcontour","Easy-to-use contour plotter"
"ezcontourf","Easy-to-use filled contour plotter"
"ezmesh","Easy-to-use 3-D mesh plotter"
"ezmeshc","Easy-to-use combination mesh/contour plotter"
"ezplot","Easy-to-use function plotter"
"ezplot3","Easy-to-use 3-D parametric curve plotter"
"ezpolar","Easy-to-use polar coordinate plotter"
"ezsurf","Easy-to-use 3-D colored surface plotter"
"ezsurfc","Easy-to-use combination surface/contour plotter"
"faceNormal","Triangulation face normal"
"faceNormals","(Will be removed) Unit normals to specified triangles"
"factor","Prime factors"
"factorial","Factorial of input"
"false","Logical 0 (false)"
"fclose (serial)","Disconnect serial port object from device"
"fclose","Close one or all open files"
"feather","Plot velocity vectors"
"featureEdges","(Will be removed) Sharp edges of surface triangulation"
"featureEdges","Triangulation sharp edges"
"feof","Test for end-of-file"
"ferror","Information about file I/O errors"
"Feval","Evaluate MATLAB function in Automation server"
"feval","Evaluate function"
"fft","Fast Fourier transform"
"fft2","2-D fast Fourier transform"
"fftn","N-D fast Fourier transform"
"fftshift","Shift zero-frequency component to center of spectrum"
"fftw","Interface to FFTW library run-time algorithm tuning control"
"fgetl (serial)","Read line of text from device and discard terminator"
"fgetl","Read line from file, removing newline characters"
"fgets (serial)","Read line of text from device and include terminator"
"fgets","Read line from file, keeping newline characters"
"fieldnames","Field names of structure, or public fields of object"
"figure","Create figure graphics object"
"figurepalette","Show or hide Figure Palette"
"fileattrib","Set or get attributes of file or folder"
"filebrowser","Open Current Folder browser, or select it if already open"
"filemarker","Character to separate file name and internal functionname"
"fileparts","Parts of file name and path"
"fileread","Read contents of file into string"
"filesep","File separator for current platform"
"fill","Filled 2-D polygons"
"fill3","Filled 3-D polygons"
"filter","1-D digital filter"
"filter","Shape frequency content of time-series"
"filter2","2-D digital filter"
"find","Find indices and values of nonzero elements"
"findall","Find all graphics objects"
"findfigs","Find visible offscreen figures"
"findobj","Locate graphics objects with specific properties"
"findobj","Find handle objects matching specified conditions"
"findprop","Find meta.property object associatedwith property name"
"findstr","Find string within another, longer string"
"finish","Termination file for MATLAB program"
"fitsdisp","Display FITS metadata"
"fitsinfo","Information about FITS file"
"fitsread","Read data from FITS file"
"fitswrite","Write image to FITS file"
"fix","Round toward zero"
"flintmax","Largest consecutive integer in floating-point format"
"flipdim","Flip array along specified dimension"
"fliplr","Flip matrix left to right"
"flipud","Flip matrix up to down"
"floor","Round toward negative infinity"
"flow","Simple function of three variables"
"fminbnd","Find minimum of single-variable function on fixed interval"
"fminsearch","Find minimum of unconstrained multivariable function usingderivative-free method"
"fopen (serial)","Connect serial port object to device"
"fopen","Open file, or obtain information about open files"
"for","Execute statements specified number of times"
"format","Set display format for output"
"fplot","Plot function between specified limits"
"fprintf (serial)","Write text to device"
"fprintf","Write data to text file"
"frame2im","Return image data associated with movie frame"
"fread (serial)","Read binary data from device"
"fread","Read data from binary file"
"freeBoundary","(Will be removed) Facets referenced by only one simplex"
"freeBoundary","Triangulation facets referenced by only one triangle ortetrahedron"
"freqspace","Frequency spacing for frequency response"
"frewind","Move file position indicator to beginning of open file"
"fscanf (serial)","Read data from device, and format as text"
"fscanf","Read data from text file"
"fseek","Move to specified position in file"
"ftell","Position in open file"
"ftp","Connect to FTP server"
"full","Convert sparse matrix to full matrix"
"fullfile","Build full file name from parts"
"func2str","Construct function name string from function handle"
"function","Declare function name, inputs, and outputs"
"function_handle
(@)","Handle used in calling functions indirectly"
"functions","Information about function handle"
"funm","Evaluate general matrix function"
"fwrite (serial)","Write binary data to device"
"fwrite","Write data to binary file"
"fzero","Root of nonlinear function"
"gallery","Test matrices"
"gamma","Gamma function"
"gammainc","Incomplete gamma function"
"gammaincinv","Inverse incomplete gamma function"
"gammaln","Logarithm of gamma function"
"gca","Current axes handle"
"gcbf","Handle of figure containing object whose callback is executing"
"gcbo","Handle of object whose callback is executing"
"gcd","Greatest common divisor"
"gcf","Current figure handle"
"gco","Handle of current object"
"ge","Test for greater than or equal to"
"genpath","Generate path string"
"genvarname","Construct valid variable name from string"
"get (memmapfile)","Memmapfile object properties"
"get (RandStream)","Random stream properties"
"get (serial)","Serial port object properties"
"get (timer)","Timer object properties"
"get (tscollection)","Query tscollection object propertyvalues"
"get","Query Handle Graphics object properties"
"get","Query property values for audioplayer object"
"get","Query property values for audiorecorder object"
"get","Get propertyvalue from interface, or display properties"
"get","Query timeseries object property values"
"getabstime (tscollection)","Extract date-string time vector into cell array"
"getabstime","Extract date-string time vector into cell array"
"getappdata","Value of application-defined data"
"getaudiodata","Store recorded audio signal in numeric array"
"GetCharArray","Character array from Automation server"
"getdatasamplesize","Size of data sample in timeseries object"
"getenv","Environment variable"
"getfield","Field of structure array"
"getframe","Capture movie frame"
"GetFullMatrix","Matrix from Automation server workspace"
"getinterpmethod","Interpolation method for timeseries object"
"getpixelposition","Get component position in pixels"
"getpref","Preference"
"getqualitydesc","Data quality descriptions"
"getReport (MException)","Get error message for exception"
"getsamples","Subset of time series samples using subscripted indexarray"
"getsampleusingtime (tscollection)","Extract data samples into new tscollection object"
"getsampleusingtime","Extract data samples into new timeseries object"
"gettimeseriesnames","Cell array of names of timeseries objectsin tscollection object"
"gettsafteratevent","New timeseries object with samplesoccurring at or after event"
"gettsafterevent","New timeseries object with samplesoccurring after event"
"gettsatevent","New timeseries object with samplesoccurring at event"
"gettsbeforeatevent","New timeseries object with samplesoccurring before or at event"
"gettsbeforeevent","New timeseries object with samplesoccurring before event"
"gettsbetweenevents","New timeseries object with samplesoccurring between events"
"GetVariable","Data from variable in Automation server workspace"
"GetWorkspaceData","Data from Automation server workspace"
"ginput","Graphical input from mouse or cursor"
"global","Declare global variables"
"gmres","Generalized minimum residual method (with restarts)"
"gobjects","Create array of graphics handles"
"gplot","Plot nodes and links representing adjacency matrix"
"grabcode","Extract MATLAB code from file published to HTML"
"gradient","Numerical gradient"
"graymon","Set default figure properties for grayscale monitors"
"grid","Grid lines for 2-D and 3-D plots"
"griddata","Interpolate scattered data"
"griddatan","Data gridding and hypersurface fitting (dimension ≥2)"
"griddedInterpolant","Gridded data interpolation"
"gsvd","Generalized singular value decomposition"
"gt","Test for greater than"
"gtext","Mouse placement of text in 2-D view"
"guidata","Store or retrieve GUI data"
"guide","Open GUI Layout Editor"
"guihandles","Create structure of handles"
"gunzip","Uncompress GNU zip files"
"gzip","Compress files into GNU zip files"
"H5.close","Close HDF5 library"
"H5.garbage_collect","Free unused memory in HDF5 library"
"H5.get_libversion","Version of HDF5 library"
"H5.open","Open HDF5 library"
"H5.set_free_list_limits","Set size limits on free lists"
"H5A.close","Close specified attribute"
"H5A.create","Create attribute"
"H5A.delete","Delete attribute"
"H5A.get_info","Information about attribute"
"H5A.get_name","Attribute name"
"H5A.get_space","Copy of attribute data space"
"H5A.get_type","Copy of attribute data type"
"H5A.iterate","Execute function for attributes attached to object"
"H5A.open","Open attribute"
"H5A.open_by_idx","Open attribute specified by index"
"H5A.open_by_name","Open attribute specified by name"
"H5A.read","Read attribute"
"H5A.write","Write attribute"
"h5create","Create HDF5 data set"
"H5D.close","Close dataset"
"H5D.create","Create new dataset"
"H5D.get_access_plist","Copy of dataset access property list"
"H5D.get_create_plist","Copy of dataset creation property list"
"H5D.get_offset","Location of dataset in file"
"H5D.get_space","Copy of dataset data space"
"H5D.get_space_status","Determine if space is allocated"
"H5D.get_storage_size","Determine required storage size"
"H5D.get_type","Copy of datatype"
"H5D.open","Open specified dataset"
"H5D.read","Read data from HDF5 dataset"
"H5D.set_extent","Change size of dataset dimensions"
"H5D.vlen_get_buf_size","Determine variable length storage requirements"
"H5D.write","Write data to HDF5 dataset"
"h5disp","Display contents of HDF5 file"
"H5DS.attach_scale","Attach dimension scale to specific dataset dimension"
